title,text,label
"Aliens Found in Desert","Scientists have discovered alien life forms living in a desert.",FAKE
"Man Builds Time Machine","A man claims he has invented a working time machine in his garage.",FAKE
"Chocolate Cures Cancer","Eating chocolate daily can cure all types of cancer, new study claims.",FAKE
"Dinosaurs Spotted in Forest","Hikers report seeing live dinosaurs in a remote forest.",FAKE
"City Will Be Underwater Tomorrow","A viral post claims that the city will be underwater due to a secret flood plan.",FAKE
"Government Hides Teleportation Device","A secret government teleportation device is said to exist according to rumors.",FAKE
"Flying Cars Available Next Month","Reports claim flying cars will be sold commercially next month.",FAKE
"Moon Landing Was a Hoax","A viral post claims the moon landing never happened.",FAKE
"Drink Water to Become Invisible","A strange article claims drinking a special water makes you invisible.",FAKE
"Computer Can Read Minds","A new AI program can supposedly read people's thoughts.",FAKE
"Chocolate Increases IQ Instantly","Fake news claims eating chocolate can instantly raise your IQ.",FAKE
"Scientists Clone a Human","Reports claim a human clone was secretly created in a lab.",FAKE
"Animals Speak English Now","A viral article claims scientists have taught animals to speak English.",FAKE
"New Pill Makes You Fly","Fake news claims a pill can give humans the ability to fly.",FAKE
"President Resigns to Become Superhero","A fake post says the president resigned to fight crime as a superhero.",FAKE
"Secret Portal to Another Dimension","Reports claim a secret portal to another dimension exists in a local cave.",FAKE
"Smartphone Can Heal You","Fake news says a new smartphone model can cure diseases.",FAKE
"Volcano Eruption Can Be Stopped","A viral post claims engineers can stop volcanic eruptions using lasers.",FAKE
"Water Can Turn Into Gold","Fake news claims that drinking a special water turns it into gold inside your stomach.",FAKE
"Weather Can Be Controlled by App","An article claims an app can control the weather worldwide.",FAKE
"Dinosaurs Still Live in Hidden Islands","Fake news claims dinosaurs are alive on remote islands.",FAKE
"Pets Can Predict Stock Market","A post claims cats and dogs can predict stock market trends accurately.",FAKE
"Trees Can Talk to Humans","A fake article says scientists made trees communicate with humans.",FAKE
"City Disappears Overnight","Viral news claims an entire city vanished overnight due to a secret experiment.",FAKE
"Aliens Attend School on Earth","Fake reports claim aliens are secretly attending human schools.",FAKE
"Chocolate Makes You Invisible","Fake news says eating chocolate can make you invisible temporarily.",FAKE
"New Virus Gives Superpowers","A viral post claims a new virus gives humans superpowers.",FAKE
"Animals Can Drive Cars","A fake post says animals can now drive cars after special training.",FAKE
"Weather Forecast Predicts Volcano Rain","Fake news claims it will rain molten lava in some cities.",FAKE
"Teleportation for Tourists Soon","Reports claim tourists will be able to teleport anywhere next year.",FAKE
"Secret City Found Under Ocean","A viral article claims a hidden city exists deep under the ocean.",FAKE
"Scientists Make Humans Live Forever","Fake news claims a secret formula allows humans to live forever.",FAKE
"Moon Will Fall on Earth","A post claims the moon will crash into Earth next month.",FAKE
"Talking Dogs Take Over Jobs","Fake news claims dogs are trained to work as office employees.",FAKE
"Chocolate Can Cure Aging","A viral post says chocolate consumption stops aging completely.",FAKE
"Humans Can Breathe Underwater","Fake news claims a pill allows humans to breathe underwater naturally.",FAKE
"Teleporting Schools Launch Tomorrow","A fake article says schools will teleport students to classrooms instantly.",FAKE
"New Planet Discovered Inside Earth","Reports claim a secret planet exists inside Earth.",FAKE
"Cats Can Control Humans Now","Fake news claims cats can control humans using special powers.",FAKE
"Government Can Change Time","A viral post says the government can manipulate time like a machine.",FAKE
"Aliens Vote in Elections","Fake news claims aliens are secretly voting in human elections.",FAKE
"Flying Shoes to Be Released","A viral article says shoes that make humans fly will be sold soon.",FAKE
"Scientists Make Invisibility Cloak","Fake reports claim an invisibility cloak is now available.",FAKE
"Chocolate Rain in City Tomorrow","A fake post claims it will rain chocolate in the city tomorrow.",FAKE
"Robots Take Over Schools","Fake news says robots will replace teachers in all schools.",FAKE
"New Pill Makes You Immortal","A viral post claims a new pill makes humans immortal.",FAKE
"Animals Now Speak Human Languages","Fake news claims animals can now speak human languages fluently.",FAKE
"Teleportation Device Sold Online","A fake article claims a teleportation device can be bought online.",FAKE
